id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,analysis_type
ieu-a-1187,ukb-b-6519,Worry,Depression,MR Egger intercept,33,0.000859152,0.007115973,0.904679534,Network
ieu-a-1187,ukb-b-6519,Worry,Depression,MR Egger,33,0.006131434,0.075029653,0.935394621,Network
ieu-a-1187,ukb-b-6519,Worry,Depression,Weighted median,33,0.064733594,0.012220087,1.18E-07,Network
ieu-a-1187,ukb-b-6519,Worry,Depression,Inverse variance weighted,33,0.092800285,0.015610785,2.77E-09,Network
ieu-a-1187,ukb-b-6519,Worry,Depression,Simple mode,33,0.050165964,0.030547694,0.110337592,Network
ieu-a-1187,ukb-b-6519,Worry,Depression,Weighted mode,33,0.049103203,0.02273905,0.038418164,Network
ieu-a-1187,ukb-b-5779,Alcohol,Depression,MR Egger intercept,33,0.018006566,0.008826801,0.049949952,Network
ieu-a-1187,ukb-b-5779,Alcohol,Depression,MR Egger,33,-0.046845519,0.242395901,0.84801575,Network
ieu-a-1187,ukb-b-5779,Alcohol,Depression,Weighted median,33,0.062849283,0.032720384,0.054757043,Network
ieu-a-1187,ukb-b-5779,Alcohol,Depression,Inverse variance weighted,33,0.028674729,0.049404317,0.561638573,Network
ieu-a-1187,ukb-b-5779,Alcohol,Depression,Simple mode,33,0.092401965,0.062626688,0.149866609,Network
ieu-a-1187,ukb-b-5779,Alcohol,Depression,Weighted mode,33,0.066956501,0.058339579,0.259599496,Network
ieu-a-1187,ieu-a-961,Smoking,Depression,MR Egger intercept,27,-0.004053483,0.029354506,0.891277686,Network
ieu-a-1187,ieu-a-961,Smoking,Depression,MR Egger,27,6.921201311,3.960478389,0.092813294,Network
ieu-a-1187,ieu-a-961,Smoking,Depression,Weighted median,27,-0.788462773,0.760503051,0.299845496,Network
ieu-a-1187,ieu-a-961,Smoking,Depression,Inverse variance weighted,27,-0.534173811,0.546254965,0.328131861,Network
ieu-a-1187,ieu-a-961,Smoking,Depression,Simple mode,27,-2.3572938,1.663155348,0.168249998,Network
ieu-a-1187,ieu-a-961,Smoking,Depression,Weighted mode,27,-2.13258753,1.642463534,0.205546563,Network
ieu-a-1187,ieu-a-1239,Education,Depression,MR Egger intercept,32,-0.013494257,0.010685501,0.216368499,Network
ieu-a-1187,ieu-a-1239,Education,Depression,MR Egger,32,0.023912639,0.184702237,0.897853157,Network
ieu-a-1187,ieu-a-1239,Education,Depression,Weighted median,32,-0.024768972,0.023677054,0.295506943,Network
ieu-a-1187,ieu-a-1239,Education,Depression,Inverse variance weighted,32,0.041229269,0.037299896,0.269009938,Network
ieu-a-1187,ieu-a-1239,Education,Depression,Simple mode,32,-0.10034179,0.041061056,0.020425881,Network
ieu-a-1187,ieu-a-1239,Education,Depression,Weighted mode,32,-0.063477331,0.040672473,0.128747721,Network
ieu-a-1187,ukb-b-19953,BMI,Depression,MR Egger intercept,33,-0.007640048,0.010041904,0.452515236,Network
ieu-a-1187,ukb-b-19953,BMI,Depression,MR Egger,33,0.114506221,0.221522835,0.608891104,Network
ieu-a-1187,ukb-b-19953,BMI,Depression,Weighted median,33,-0.029333736,0.026666883,0.271329446,Network
ieu-a-1187,ukb-b-19953,BMI,Depression,Inverse variance weighted,33,0.014402331,0.045280649,0.750433266,Network
ieu-a-1187,ukb-b-19953,BMI,Depression,Simple mode,33,-0.064529107,0.076656795,0.406151432,Network
ieu-a-1187,ukb-b-19953,BMI,Depression,Weighted mode,33,-0.03824823,0.057652944,0.511811755,Network
ieu-a-1187,ukb-b-5238,Intelligence,Depression,MR Egger intercept,33,-0.00246664,0.008833226,0.781910945,Network
ieu-a-1187,ukb-b-5238,Intelligence,Depression,MR Egger,33,-0.274597187,0.56896381,0.632751457,Network
ieu-a-1187,ukb-b-5238,Intelligence,Depression,Weighted median,33,-0.005612893,0.08283361,0.945975849,Network
ieu-a-1187,ukb-b-5238,Intelligence,Depression,Inverse variance weighted,33,0.039890217,0.116370229,0.731758608,Network
ieu-a-1187,ukb-b-5238,Intelligence,Depression,Simple mode,33,-0.122989352,0.155511252,0.434841915,Network
ieu-a-1187,ukb-b-5238,Intelligence,Depression,Weighted mode,33,-0.122989352,0.140629992,0.388330233,Network
ieu-a-1187,ieu-a-1018,Wellbeing,Depression,MR Egger intercept,27,-0.013619016,0.006987008,0.062576842,Network
ieu-a-1187,ieu-a-1018,Wellbeing,Depression,MR Egger,27,0.031235026,0.210625353,0.883298359,Network
ieu-a-1187,ieu-a-1018,Wellbeing,Depression,Weighted median,27,-0.04934003,0.034043464,0.147246951,Network
ieu-a-1187,ieu-a-1018,Wellbeing,Depression,Inverse variance weighted,27,-0.112098692,0.028688531,9.33E-05,Network
ieu-a-1187,ieu-a-1018,Wellbeing,Depression,Simple mode,27,-0.041720977,0.067559977,0.542250092,Network
ieu-a-1187,ieu-a-1018,Wellbeing,Depression,Weighted mode,27,-0.036172262,0.053468404,0.504687188,Network
ieu-a-1187,ukb-b-4424,Sleep duration,Depression,MR Egger intercept,33,-0.022659218,0.009099021,0.018331255,Network
ieu-a-1187,ukb-b-4424,Sleep duration,Depression,MR Egger,33,-0.006309498,0.139525307,0.96422107,Network
ieu-a-1187,ukb-b-4424,Sleep duration,Depression,Weighted median,33,-0.049563413,0.01794475,0.005744834,Network
ieu-a-1187,ukb-b-4424,Sleep duration,Depression,Inverse variance weighted,33,-0.01137047,0.028389701,0.688778052,Network
ieu-a-1187,ukb-b-4424,Sleep duration,Depression,Simple mode,33,-0.071390297,0.03130527,0.029383672,Network
ieu-a-1187,ukb-b-4424,Sleep duration,Depression,Weighted mode,33,-0.071390297,0.025241291,0.008008937,Network
ieu-a-1187,ukb-b-8476,Loneliness,Depression,MR Egger intercept,33,0.019069522,0.005671642,0.002068051,Network
ieu-a-1187,ukb-b-8476,Loneliness,Depression,MR Egger,33,-0.048911405,0.031456588,0.130124445,Network
ieu-a-1187,ukb-b-8476,Loneliness,Depression,Weighted median,33,0.034366712,0.00783629,1.16E-05,Network
ieu-a-1187,ukb-b-8476,Loneliness,Depression,Inverse variance weighted,33,0.051390675,0.007412852,4.13E-12,Network
ieu-a-1187,ukb-b-8476,Loneliness,Depression,Simple mode,33,0.029949275,0.017291812,0.092905883,Network
ieu-a-1187,ukb-b-8476,Loneliness,Depression,Weighted mode,33,0.026479124,0.013678115,0.061759272,Network
ieu-a-1187,ukb-b-3957,Sleeplessness,Depression,MR Egger intercept,33,0.016749352,0.006664478,0.017373791,Network
ieu-a-1187,ukb-b-3957,Sleeplessness,Depression,MR Egger,33,-0.004822507,0.095780305,0.960166766,Network
ieu-a-1187,ukb-b-3957,Sleeplessness,Depression,Weighted median,33,0.058236349,0.016174061,0.000317482,Network
ieu-a-1187,ukb-b-3957,Sleeplessness,Depression,Inverse variance weighted,33,0.088357897,0.019794448,8.05E-06,Network
ieu-a-1187,ukb-b-3957,Sleeplessness,Depression,Simple mode,33,0.045413626,0.039470845,0.258438294,Network
ieu-a-1187,ukb-b-3957,Sleeplessness,Depression,Weighted mode,33,0.041247,0.034827675,0.245010028,Network
ieu-a-1187,ukb-b-4956,Eveningness,Depression,MR Egger intercept,33,-0.009659291,0.008992861,0.291064767,Network
ieu-a-1187,ukb-b-4956,Eveningness,Depression,MR Egger,33,-0.047568133,0.156831259,0.763681627,Network
ieu-a-1187,ukb-b-4956,Eveningness,Depression,Weighted median,33,-0.022996405,0.021504459,0.284899181,Network
ieu-a-1187,ukb-b-4956,Eveningness,Depression,Inverse variance weighted,33,0.002676425,0.031974275,0.933290537,Network
ieu-a-1187,ukb-b-4956,Eveningness,Depression,Simple mode,33,0.010151223,0.039398424,0.7983225,Network
ieu-a-1187,ukb-b-4956,Eveningness,Depression,Weighted mode,33,0.015094466,0.034630217,0.665853383,Network
ieu-a-1187,ukb-d-SLEEP,ICD10 Insomni,Depression,MR Egger intercept,33,0.003030171,0.006722646,0.655313277,Network
ieu-a-1187,ukb-d-SLEEP,ICD10 Insomni,Depression,MR Egger,33,0.00389556,0.006012054,0.521782529,Network
ieu-a-1187,ukb-d-SLEEP,ICD10 Insomni,Depression,Weighted median,33,0.004681147,0.001718798,0.006459416,Network
ieu-a-1187,ukb-d-SLEEP,ICD10 Insomni,Depression,Inverse variance weighted,33,0.005264187,0.001243815,2.31E-05,Network
ieu-a-1187,ukb-d-SLEEP,ICD10 Insomni,Depression,Simple mode,33,0.006492083,0.003621136,0.082458125,Network
ieu-a-1187,ukb-d-SLEEP,ICD10 Insomni,Depression,Weighted mode,33,0.00640639,0.00380861,0.102288187,Network
ieu-a-1187,ukb-b-4062,Happiness,Depression,MR Egger intercept,33,-0.005954789,0.007007594,0.401972554,Network
ieu-a-1187,ukb-b-4062,Happiness,Depression,MR Egger,33,0.014945913,0.086355278,0.863717853,Network
ieu-a-1187,ukb-b-4062,Happiness,Depression,Weighted median,33,0.081450842,0.023875597,0.00064614,Network
ieu-a-1187,ukb-b-4062,Happiness,Depression,Inverse variance weighted,33,0.101301822,0.01785714,1.40E-08,Network
ieu-a-1187,ukb-b-4062,Happiness,Depression,Simple mode,33,0.024881967,0.057528036,0.668265264,Network
ieu-a-1187,ukb-b-4062,Happiness,Depression,Weighted mode,33,0.026065717,0.05560555,0.642418266,Network
ieu-a-1187,ukb-b-4710,Exercise,Depression,MR Egger intercept,33,-0.008061212,0.008474458,0.348842515,Network
ieu-a-1187,ukb-b-4710,Exercise,Depression,MR Egger,33,0.223757803,0.21966418,0.316260271,Network
ieu-a-1187,ukb-b-4710,Exercise,Depression,Weighted median,33,0.036653509,0.047516937,0.440483054,Network
ieu-a-1187,ukb-b-4710,Exercise,Depression,Inverse variance weighted,33,0.038067112,0.045202708,0.399708313,Network
ieu-a-1187,ukb-b-4710,Exercise,Depression,Simple mode,33,0.056248865,0.107298345,0.60373211,Network
ieu-a-1187,ukb-b-4710,Exercise,Depression,Weighted mode,33,0.083739892,0.114313773,0.469168533,Network
ieu-a-1187,ukb-b-5076,Not socialising,Depression,MR Egger intercept,33,-0.01800182,0.008799157,0.049334227,Network
ieu-a-1187,ukb-b-5076,Not socialising,Depression,MR Egger,33,-0.061484041,0.04874379,0.216584621,Network
ieu-a-1187,ukb-b-5076,Not socialising,Depression,Weighted median,33,-0.005610261,0.009389153,0.550156418,Network
